E.,Sigle,Site.,SiteName,LatDD,LonDD,Elevation,PolDiv1,Name,Responsible,Age model,Use,Upper depth,Lower depth
1129,MONTCARR,940,Mont Carr_è_ H_è_r_è_mence,46.09,7.22,2290,CHE,Switzerland,Walter,2,Y,0,420
1130,LOERM1,941,L_è_rmoos Bern,46.59,7.24,583,CHE,Switzerland,Walter,1,N,,
1131,LOERM2,941,L_è_rmoos Bern,46.59,7.24,583,CHE,Switzerland,Walter,1,N,,
1132,LOERMOOS,941,L_è_rmoos Bern,46.59,7.24,583,CHE,Switzerland,Walter,2,Y,292,366
1133,MOTTA,942,Motta Naluns,46.81,10.27,2170,CHE,Switzerland,Walter,2,Y,0,300
1134,DOVJOK,943,Dovjok Swamp,48.75,28.25,265.75,UKR,Ukraine,Thomas,2,Y,,480
1135,KARDAS,944,Kardashinski Swamp,46.52,32.62,4,UKR,Ukraine,Thomas,2,Y,,
1136,NILEDS2,945,Nile Delta S2,31.3,31.6,1,EGY,Egypt,Basil,1,Y,,
1137,NILEDS6,946,Nile Delta S6,31.11,31.72,2,EGY,Egypt,Basil,1,Y,,
1138,OBERAAR,947,Oberaar,46.33,8.15,2315,CHE,Switzerland,Walter,2,Y,0,80
1140,OPPLIGEN,949,Oppligen,46.5,7.35,560,CHE,Switzerland,Walter,1,N,,
1141,MOKHOVOE,950,Mokhovoye,53.77,64.25,178,KAZ,Kazakhstan,,1,Y,,
1142,PILLON,951,Pillon Gsteig-Diablerets,46.21,7.12,1670,CHE,Switzerland,Walter,2,Y,0,400
1143,RIFFEL,952,Riffelsee,45.98,7.76,2757,CHE,Switzerland,Walter,2,Y,0,18
1144,RL305,468,Rotsee,47.08,8.33,419,CHE,Switzerland,Walter,2,Y,900,1060
1145,RL170,468,Rotsee,47.08,8.33,419,CHE,Switzerland,Walter,1,N,,
1146,ROBII33,953,Alpi di Robi_è_i Val Bavona,46.44,8.52,1892,CHE,Switzerland,Walter,2,Y,0,600
1147,ROBII30,953,Alpi di Robi_è_i Val Bavona,46.44,8.52,1892,CHE,Switzerland,Walter,1,N,,
1148,ROB316,953,Alpi di Robi_è_i Val Bavona,46.44,8.52,1892,CHE,Switzerland,Walter,1,N,,
1149,PRRODET,954,Praz Rodet,46.57,6.17,1040,CHE,Switzerland,Walter,2,Y,0,472
1150,PALLUNG,955,Pal_è_ Lunga ob Ramosch,46.85,10.38,1890,CHE,Switzerland,Walter,1,N,,
1151,SEEBERG,956,Seebergsee,46.576875,7.443853,1831,CHE,Switzerland,Walter,1,Y,0,417
1152,TREPALLE,957,Trepalle Livigno,46.52,10.18,2030,ITA,Italy,Walter,1,N,,
1153,ROTMOOS,958,Rotmoos-Eriz,46.79,7.84,1190,CHE,Switzerland,Walter,1,Y,0,550
1154,SAANENM,959,Saanenm_è_ser,46.52,7.31,1256,CHE,Switzerland,Walter,1,Y,34.5,128
1155,SAEGIST,960,S_è_gistalsee,46.68,7.98,1935,CHE,Switzerland,Walter,2,Y,0,1347
1156,SCHOENW,961,Sch_è_nwies,46.85,11.03,2260,AUT,Austria,Walter,2,Y,0,232.5
1157,SCHOEPF,962,Sch_è_pfenwaldmoor,46.743461,7.847558,1450,CHE,Switzerland,Walter,2,Y,-2.5,93.5
1158,SCHWAVS,963,Schwarzsee VS,45.99,7.71,2552,CHE,Switzerland,Walter,1,Y,0,14
1159,SCHWAFR,964,Schwarzsee FR,46.67,7.28,1046,CHE,Switzerland,Walter,2,N,0,1280
1160,SCHWARZS,965,Schwarzsee Reschenscheideck,46.87,10.48,1721,AUT,Austria,Walter,2,Y,0,530
1161,SPITTEL,966,Simplon/Gampisch-Alter Spittel,46.23,8.01,1885,CHE,Switzerland,Walter,2,Y,0,430
1163,SUEFT1,968,S_è_ftenenegg,46.73,7.4,1555,CHE,Switzerland,Walter,1,N,,
1164,SUEFT2,968,S_è_ftenenegg,46.73,7.4,1555,CHE,Switzerland,Walter,1,N,,
1165,SUEFTGRO,969,S_è_fternen-Gr_è_negg,46.73,7.4,1520,CHE,Switzerland,Walter,1,N,,
1166,TROGMOOS,970,Trogenmoos,46.76,7.86,1470,CHE,Switzerland,Walter,2,Y,0,86
1167,UMBRAIL,971,Umbrail,46.54,10.42,2490,CHE,Switzerland,Walter,2,Y,0,200
1168,XIRES,972,Xir_è_s Montana,46.31,7.47,1445,CHE,Switzerland,Walter,2,Y,148,472
1169,YCOR,973,Etang d'y Cor Montana,46.31,7.48,1500,CHE,Switzerland,Walter,2,Y,0,867
1170,WALLB1,974,Wallbach Lenk,46.43,7.4,1885,CHE,Switzerland,Walter,2,Y,0,300
1174,WACHS,975,Wachseldorn Untermoos,46.82,7.73,980,CHE,Switzerland,Walter,2,Y,0,182
1175,WACHSOE,975,Wachseldorn Untermoos,46.82,7.73,980,CHE,Switzerland,Walter,2,Y,91,146
1176,WUNT,975,Wachseldorn Untermoos,46.82,7.73,980,CHE,Switzerland,Walter,2,Y,0,500
1177,PSM90III,976,Lej da San Murezzan,46.49,9.85,1768,CHE,Switzerland,Walter,2,N,0,650
1178,WAXECK,977,Waxeckalm,47.02,11.5,1875,AUT,Austria,Walter,2,Y,0,249
1179,DORTMUND,978,Dortmunder H_è_tte,47.1,11,1880,AUT,Austria,Walter,2,Y,0,199
1180,MIEMING,979,Mieminger See,47.29,10.98,800,AUT,Austria,Walter,2,Y,0,720
1181,NILEDS7,980,Nile Delta S7,31.13,31.87,1,EGY,Egypt,Basil,1,Y,,
1182,NILEDS8,981,Nile Delta S8,31.22,32.03,0,EGY,Egypt,Basil,2,Y,,
1183,KATZENL,982,Katzenloch,47.34,11.13,1220,AUT,Austria,Walter,2,Y,25,183
1184,SEEFELD,983,Seefelder See,47.32,11.19,1200,AUT,Austria,Walter,2,Y,0,600
1185,KIRCHB,984,Kirchbichl,47.51,12.09,512,AUT,Austria,Walter,2,Y,150,837
1186,EGELSEE,985,Egelsee,47.61,12.17,549,AUT,Austria,Walter,2,Y,0,670
1187,MIESBERG,986,Miesberg,47.65,12.27,670,AUT,Austria,Walter,2,Y,80,380
1188,LUTZENB,987,Lutzenberg,47.46,12.36,815,AUT,Austria,Walter,2,Y,0,150
1189,GIERING,988,Giering,47.47,12.36,820,AUT,Austria,Walter,2,Y,0,530
1190,HASENM,989,Hasenmoos,47.47,12.38,770,AUT,Austria,Walter,1,Y,0,810
1191,WASENM1,990,Wasenmoos,47.31,12.42,1205,AUT,Austria,Walter,1,N,,
1192,WASENM2,990,Wasenmoos,47.31,12.42,1205,AUT,Austria,Walter,1,N,,
1193,SOMMERS,991,Sommers_è_ss,46.76,11.68,870,ITA,Italy,Walter,2,Y,0,530
1194,RINDERP,992,Rinderplatz,46.64,11.49,1780,ITA,Italy,Walter,2,Y,0,550
1195,DURA,993,Dura-Moor,46.64,11.46,2080,ITA,Italy,Walter,2,Y,0,495
1196,MALSCH,994,Malsch_è_tscher Hotter,46.67,11.46,2050,ITA,Italy,Walter,2,Y,0,250
1197,SCHWARZ,995,Schwarzsee,46.67,11.43,2033,ITA,Italy,Walter,2,Y,0,400
1198,F_SENN3,996,Franz Senn-H_è_tte,47.35,11.88,2115,AUT,Austria,Walter,2,Y,0,347
1199,GRUENAUM,997,Gr_è_nau Moor,47.03,11.45,2190,AUT,Austria,Walter,1,N,,
1200,BUNTESM,998,Buntes Moor,47.06,11.3,2285,AUT,Austria,Walter,2,Y,0,400
1201,ALPENR,999,Moor Alpenrose,47.09,11.78,1880,AUT,Austria,Walter,1,Y,0,200
1202,ROTM_OB,1000,Rotmoos Obergurgl,46.841661,11.025,2260,AUT,Austria,Walter,1,Y,2.5,267.5
1203,ATEML,1001,Ateml_è_chermoos,46.94,11.02,1790,AUT,Austria,Walter,1,Y,765,845
1204,PILLERM,1002,Pillermoos Untergurgl,46.9,11.04,1780,AUT,Austria,Walter,2,Y,390,425
1205,WILDMOOS,1003,Wildmoos,46.95,11.02,1435,AUT,Austria,Walter,2,Y,110,800
1206,KROTENW1,1004,Krotenweiher,47.08,11.41,1310,AUT,Austria,Walter,2,Y,620,730
1207,LANSERM1,1005,Lanser Moor,47.24,11.42,840,AUT,Austria,Walter,2,Y,750,955
1208,LANSERM2,1005,Lanser Moor,47.24,11.42,840,AUT,Austria,Walter,1,N,,
1209,LANSERM3,1005,Lanser Moor,47.24,11.42,840,AUT,Austria,Walter,2,Y,782.5,939
1210,LINDENM,1006,Lindenmoos,47.51,12.039,640,AUT,Austria,Walter,2,Y,20,690
1211,ZOTENS1,1007,Zotensenk,47.42,11.87,560,AUT,Austria,Walter,2,Y,680,860
1213,GERLOS,1008,Gerlos,47.24,12.14,1590,AUT,Austria,Walter,2,Y,5,440
1214,DELORETT,1009,Moor am Rofenberg,46.83,10.83,2760,AUT,Austria,Walter,1,Y,5,130
1215,VEAU,749,Tourbi_è_re les Veaux,47.24,7.09,1020,CHE,Switzerland,Walter,1,N,,
1216,LOCLAT1A,1010,Le Loclat,47.02,7,432,CHE,Switzerland,Walter,2,Y,0,800
1218,LOCLAT4,1010,Le Loclat,47.02,7,432,CHE,Switzerland,Walter,1,N,,
1219,LOCLAT50,1010,Le Loclat,47.02,7,432,CHE,Switzerland,Walter,1,N,,
1221,MURIF2,1011,Murifeld Bern,46.56,7.28,554,CHE,Switzerland,Walter,2,Y,160,550
1222,MURIFGR,1011,Murifeld Bern,46.56,7.28,554,CHE,Switzerland,Walter,2,Y,-90,57
1225,ORGE3,1012,Lac du Mont d'Orge Sion,46.14,7.2,640,CHE,Switzerland,Walter,1,Y,513,1500
1226,ORGE4,1012,Lac du Mont d'Orge Sion,46.14,7.2,640,CHE,Switzerland,Walter,1,N,,
1227,ORGE5,1012,Lac du Mont d'Orge Sion,46.14,7.2,640,CHE,Switzerland,Walter,2,Y,10,550
1228,ROBSOIL,1013,Alpi di Robi_è_i Val Bavona Bodenprofil,46.44,8.52,1965,CHE,Switzerland,Walter,1,N,,
1229,LAU1,1014,Lac du Lauzon,44.68,5.79,1980,FRA,France,Simon,1,Y,,
1230,CZE1,1015,Marais de Charauze,45.37,5.57,375,FRA,France,Simon,1,Y,,
1231,CHIRENS1,1016,Tourbi_è_re de Chirens,45.42,5.56,460,FRA,France,Simon,1,Y,,
1232,GOSCI187,1017,Lake Gosciaz,52.58,19.35,64,POL,Poland,Thomas,1,Y,,
1233,COUDERT,1018,Les Chaux de Coudert,45.27,1.95,500,FRA,France,Simon,1,Y,,
1234,DAUGES,1019,Tourbi_è_re des Dauges,46.01,1.42,620,FRA,France,Simon,1,Y,,
1235,ESPINASS,1020,Narse d'Espinasse,45.63,2.88,1160,FRA,France,Simon,2,Y,,
1236,LONGEYR2,1021,Tourbi_è_re de Longeyroux,45.59,2.74,800,FRA,France,Simon,1,Y,,
1237,ROUSSY,1022,Tourbi_è_re de Roussy,45.08,2.52,1030,FRA,France,Simon,1,Y,,
1240,LONGEYR1,1021,Tourbi_è_re de Longeyroux,45.59,2.74,800,FRA,France,Simon,2,N,,
1242,NEGARIOU,1026,Tourbi_è_re de N_è_garioux,45.72,2.48,780,FRA,France,Simon,1,N,,
1246,CARC14,1030,Les Cars,45.61,2.38,850,FRA,France,Simon,1,N,,
1256,MFM6,627,Meerfelder Maar,50.1,6.75,336,DEU,Germany,Thomas,1,N,,
1257,PRELUCA,1038,Preluca Tiganului,47.82,23.54,730,ROU,Romania,Basil,1,Y,,
1258,STEREGOI,1039,Steregoiu,47.81,23.54,790,ROU,Romania,Basil,2,Y,,
1259,FUKK1,1040,Fuschlsee,47.78,13.27,663,AUT,Austria,Walter,2,Y,0,902
1261,MIROIR,1042,Lac Miroir,44.64,6.79,2210,FRA,France,Simon,2,Y,,
1262,PRAVER,1043,Lac de Praver,45.07,5.86,1170,FRA,France,Simon,2,Y,,
1265,MONTSEC2,1045,Tourbi_è_re de Mont Sec,45.07,5.81,1130,FRA,France,Simon,1,Y,,
1266,GATIMORT,1046,Tourbi_è_re de Gatimort,43.58,2.79,970,FRA,France,Simon,2,Y,,
1267,LANDE,1047,Tourbi_è_re de la Lande,43.57,2.97,1040,FRA,France,Simon,2,Y,,
1268,NARMORNW,1048,Tourbi_è_re des Narses Mortes,44.43,3.6,1400,FRA,France,Simon,2,Y,,
1272,PEYROUTA,1049,Tourbi_è_re de la Peyroutari_è_,44.47,3.6,1050,FRA,France,Simon,1,Y,,
1273,PESCHIO1,1050,Tourbi_è_re du Peschio,44.45,3.6,1370,FRA,France,Simon,2,Y,,
1274,PESCHIOB,1050,Tourbi_è_re du Peschio,44.45,3.6,1370,FRA,France,Simon,1,Y,74,
1275,WHN,1051,Waschhorn,53.62,8.74,10,DEU,Germany,Thomas,2,Y,,
1276,BRM1,1052,Bruckmisse,48.73,8.64,670,DEU,Germany,Thomas,1,N,,
1277,BRM3,1052,Bruckmisse,48.73,8.64,670,DEU,Germany,Thomas,1,N,,
1278,BRM4,1052,Bruckmisse,48.73,8.64,670,DEU,Germany,Thomas,1,N,,
1279,GWA1,1053,Glaswaldsee,48.43,8.25,839,DEU,Germany,Thomas,2,Y,,
1280,KWI1,1054,Wildseemoor bei Kaltenbronn,48.72,8.46,909,DEU,Germany,Thomas,2,Y,,
1281,KWI2,1054,Wildseemoor bei Kaltenbronn,48.72,8.46,909,DEU,Germany,Thomas,1,N,,
1282,WILA,1055,Wilder See beim Ruhestein,48.57,8.24,910,DEU,Germany,Thomas,2,Y,,
1283,AVG0702,,Lago Grande di Avigliana,45.07,7.39,353,ITA,Italy,Walter,2,Y,0,60
1284,FULLY,1057,Lac  Superieur de Fully,46.18,7.09,2135,CHE,Switzerland,Walter,2,Y,0,241
1285,LOSUNAR,1058,Le Loch Sunart,56.666667,-5.866667,0,GBR,United Kingdom,Thomas,1,N,,
1286,FRANVILL,1059,Baie de Seine Franceville beach,49.3,-0.266667,5,FRA,France,Simon,1,Y,,
1287,S2188,1060,Baie de Seine estuary,49.416667,-0.033333,0,FRA,France,Simon,1,Y,,
1288,VK12,1060,Baie de Seine estuary,49.416667,-0.033333,0,FRA,France,Simon,2,Y,,
1289,VK52,1060,Baie de Seine estuary,49.416667,-0.033333,0,FRA,France,Simon,1,Y,,
1290,BOUCHB5,1061,Lac du Bouchet,44.916667,3.783333,1200,FRA,France,Simon,1,Y,,250
1291,BOUCHB53,1061,Lac du Bouchet,44.916667,3.783333,1200,FRA,France,Simon,1,Y,,300
1292,BOUCHB60,1061,Lac du Bouchet,44.916667,3.783333,1200,FRA,France,Simon,1,Y,,430
1293,BOUCHD,1061,Lac du Bouchet,44.916667,3.783333,1200,FRA,France,Simon,1,Y,,1000
1294,PRA1995,1062,Praclaux crater,44.816667,3.833333,1100,FRA,France,Simon,1,N,,
1295,BOUCHI,1061,Lac du Bouchet,44.916667,3.783333,1200,FRA,France,Simon,1,N,,
1297,BOUCHH,1061,Lac du Bouchet,44.916667,3.783333,1200,FRA,France,Simon,1,N,,
1298,RIBAINS,1063,Ribains maar,44.916667,3.783333,1080,FRA,France,Simon,1,N,,
1299,GRADEN1,1064,Gradenmoos,47.965278,12.808333,1920,AUT,Austria,Simon,1,Y,,
1300,TAUERN3,1065,Tauernmoos,47.172222,12.644444,2100,AUT,Austria,Simon,1,Y,,
1325,VAUVILC4,1076,Vauville,49.636111,-1.848889,10,FRA,France,Simon,1,Y,,
1326,VAUVILLE,1076,Vauville,49.636111,-1.848889,10,FRA,France,Simon,1,Y,,
1327,ANSTMA60,1077,Anse Saint-Martin,49.703889,-1.878611,5,FRA,France,Simon,1,Y,,
1328,ANSTM203,1077,Anse Saint-Martin,49.703889,-1.878611,5,FRA,France,Simon,2,Y,,
1330,ETPASM67,1078,Etang paysan,49.696111,-1.867222,41,FRA,France,Simon,1,Y,,
1332,URVNAC1,1079,Urville-Nacqueville,49.678056,-1.7575,5,FRA,France,Simon,1,Y,,90
1334,LINGR2C1,1080,Lingreville,48.929722,-1.543056,5,FRA,France,Simon,1,Y,,
1335,LINGR2C2,1080,Lingreville,48.929722,-1.543056,5,FRA,France,Simon,1,Y,,
1336,LINGR2CM,1080,Lingreville,48.929722,-1.543056,5,FRA,France,Simon,1,Y,,
1337,BRICQRUE,1080,Lingreville,48.929722,-1.543056,5,FRA,France,Simon,1,Y,,
1338,LINGR3CN,1080,Lingreville,48.929722,-1.543056,5,FRA,France,Simon,1,Y,,
1340,LINGREV4,1080,Lingreville,48.929722,-1.543056,5,FRA,France,Simon,1,Y,,
1341,LINGREV5,1080,Lingreville,48.929722,-1.543056,5,FRA,France,Simon,1,Y,,
1342,LINGREV6,1080,Lingreville,48.929722,-1.543056,5,FRA,France,Simon,1,Y,,
1344,LING1B17,1080,Lingreville,48.929722,-1.543056,5,FRA,France,Simon,1,Y,,
1345,MASTCLAI,1081,Marais de Marchesieux,49.173333,-1.3,5,FRA,France,Simon,1,Y,,
1346,TOCQUEB1,1082,Tocqueboeuf,49.688889,-1.416667,27,FRA,France,Simon,1,Y,,
1347,TOCQUEB2,1082,Tocqueboeuf,49.688889,-1.416667,27,FRA,France,Simon,1,Y,,
1348,TOCQUEST,1082,Tocqueboeuf,49.688889,-1.416667,27,FRA,France,Simon,1,Y,,
1349,MATHON,1083,Tourbière de Mathon,49.218889,-1.5,20,FRA,France,Simon,1,Y,,
1350,GEFONTE4,1084,Geffosse Fontenay,49.365,-1.083333,12,FRA,France,Simon,1,Y,,
1351,STCOMONT,1085,Saint-C_me du Mont,49.335,-1.270833,25,FRA,France,Simon,1,Y,,
1352,CHFPONES,1086,Chef-du-Pont,49.381944,-1.360556,2,FRA,France,Simon,2,Y,,1000
1353,GATTEMAR,1087,Anse de Gattemare,49.692778,-1.298056,1,FRA,France,Simon,2,Y,,
1354,CRABEC,1088,Havre de Crabec,49.683333,-1.275,2,FRA,France,Simon,1,Y,,
1355,MONFHAYE,1089,Montfarville,49.645,-1.254167,3,FRA,France,Simon,1,Y,,
1356,MONFLAND,1089,Montfarville,49.645,-1.254167,3,FRA,France,Simon,1,Y,,
1357,MRELAMAR,1090,Anse de la Mare,49.625278,-1.230833,0,FRA,France,Simon,1,Y,,
1358,BERVILLE,1091,Berville-sur-Seine,49.483333,0.9,4,FRA,France,Simon,1,N,,
1361,BLAINVIL,1094,Blainville-sur-Orne,49.203056,-0.308889,5,FRA,France,Simon,2,Y,,1000
1362,REPUB1,1095,Caen,49.184444,-0.36,11,FRA,France,Simon,1,Y,,
1363,REPUBA,1095,Caen,49.184444,-0.36,11,FRA,France,Simon,1,N,,
1364,REPUBB,1095,Caen,49.184444,-0.36,11,FRA,France,Simon,1,N,,
1365,REPUBD,1095,Caen,49.184444,-0.36,11,FRA,France,Simon,1,Y,,
1366,PONTEVEQ,1096,Pont-l'Eveque Le Lac,49.275,-0.199722,9,FRA,France,Simon,1,Y,,
1367,MARDIVES,1097,Marais de la Dives,49.25,-0.15,3,FRA,France,Simon,1,Y,,1200
1368,PETIVIC1,1098,Petiville,49.233333,-0.166667,2,FRA,France,Simon,2,Y,,
1369,TROARNC0,1099,Troarn Saint-Samson,49.183611,-0.168056,2,FRA,France,Simon,1,Y,,
1370,TROARNC2,1099,Troarn Saint-Samson,49.183611,-0.168056,2,FRA,France,Simon,2,Y,,
1371,BELLENGR,1100,Bellengreville,49.116667,-0.215,20,FRA,France,Simon,2,Y,,
1372,ANNERAY,1101,Anneray,49.159444,-0.059444,5,FRA,France,Simon,1,Y,,
1376,CAIRON,1103,Cairon,49.238889,-0.449722,38,FRA,France,Simon,2,Y,,
1377,FONTHENR,1104,Fontaine Henry,49.2775,-0.453333,20,FRA,France,Simon,2,Y,,
1381,REVIERE1,1105,Reviers,49.301111,-0.466667,14,FRA,France,Simon,2,Y,,
1388,CHANTEME,1112,Chantemerle,45.916667,0.016667,69,FRA,France,Simon,1,Y,,
1389,MURSOLOG,1113,Tourbière de Mur de Sologne,47.411667,-1.608889,115,FRA,France,Simon,1,Y,,
1390,TIGAL,1114,Tigalmamine,32.9,-5.35,1626,MOR,Morocco,Basil,2,Y,,
1391,PUYDGOUT,1115,Puy des Gouttes,45.828611,2.955,1134,FRA,France,Simon,1,N,,
1394,LASPARDI,1118,Las Pardillas Lake,42.045556,-3.045278,1870,ESP,Spain,Simon,2,Y,,
1395,SEMENIC1,1119,Semenic,45.18,22.059444,1400,ROU,Romania,Simon,1,Y,,
1396,CSOGLE,1120,Cs_gle,47.215833,17.255,134,HUN,Hungary,Simon,1,N,,
1397,NAGYMOHO,1121,Nagy-Mohos,48.326944,20.436389,270,HUN,Hungary,Simon,2,Y,,
1398,PAHOK,1122,Als_p_hok,46.774444,17.170278,126,HUN,Hungary,Simon,1,Y,,
1399,POLOSKE,1123,P_l_ske,46.756111,16.924722,153,HUN,Hungary,Simon,1,N,,
1400,POTRETE,1124,P_tr_te,46.678889,16.933056,141,HUN,Hungary,Simon,1,Y,,
1401,SZIGLIGE,1125,Szigliget,46.8,17.433333,118,HUN,Hungary,Simon,1,Y,,
1402,ZALAVAR,1126,Zalav_r,46.785278,17.155,188,HUN,Hungary,Simon,1,N,,
1403,LOEDDIG,1127,L_ddigsee,53.433333,11.85,43,DEU,Germany,Thomas,2,Y,,
1404,LANGEFEN,1128,Langes Fenn Kemnitzerheide,52.313611,12.913611,36,DEU,Germany,Simon,2,Y,,
1405,VC2068,1129,Borkum Riffgrund,54.1,6.766667,-33,DEU,Germany,Simon,1,N,,
1406,BRUCHBG1,1130,Bruchberg,51.758889,10.46,825,DEU,Germany,Thomas,2,Y,,
1407,BRUCHBG2,1130,Bruchberg,51.758889,10.46,825,DEU,Germany,Thomas,2,Y,,
1408,LUTTERS1,1131,L_ttersee,51.576667,10.161667,164,DEU,Germany,Thomas,2,Y,,
1409,LUTTERS2,1131,L_ttersee,51.576667,10.161667,164,DEU,Germany,Thomas,2,Y,,545
1410,AHLEQUEL,1132,Ahlequellmoor,51.730556,9.509444,300,DEU,Germany,Thomas,2,Y,,
1411,LUDERHO1,1133,L_derholz,51.684722,10.305833,228,DEU,Germany,Thomas,1,Y,,
1412,SILBERHO,1134,Silberhohl,51.91,10.1825,180,DEU,Germany,Thomas,2,Y,,
1413,UCKERSEE,1135,Unter-_ckersee,53.25,13.85,10,DEU,Germany,Thomas,1,Y,,
1414,FEL1,1136,Felchosee,53.05,14.133333,10,DEU,Germany,Thomas,2,Y,,
1415,FEL2,1136,Felchosee,53.05,14.133333,10,DEU,Germany,Thomas,2,Y,480,690
1416,GKSE,1137,Gro_er Krebssee,52.85,14.1,5,DEU,Germany,Thomas,1,N,,
1417,GKREBSEE,1137,Gro_er Krebssee,52.85,14.1,5,DEU,Germany,Thomas,1,N,,
1418,GKSA,1137,Gro_er Krebssee,52.85,14.1,5,DEU,Germany,Thomas,1,N,,
1419,JH05,1138,Lake Hancza,54.266667,22.816667,229,POL,Poland,Thomas,2,Y,,
1420,VOULKARI,1139,Lake Voulkaria,38.866667,20.833333,0,GRC,Greece,Thomas,2,Y,,
1421,KMO2,1140,Kleinen Mochowsee,51.996389,14.198889,49,DEU,Germany,Thomas,2,Y,,
1422,SONENBGM,1141,Sonnenberger Moor,51.768056,10.516111,780,DEU,Germany,Thomas,2,Y,,
1423,BOKABLA1,1142,Bokanjacko,44.183333,15.233333,25,HRV,Croatia,Simon,2,Y,,
1424,BOKABLA2,1142,Bokanjacko,44.183333,15.233333,25,HRV,Croatia,Simon,1,N,,
1425,RAPERSH1,1143,Rappershausen,50.379167,10.391389,384,DEU,Germany,Thomas,1,Y,,
1426,WEISSFOR,1144,Moor im Weissenstadter Forst,50.136667,11.880278,725,DEU,Germany,Thomas,1,Y,,
1427,ROTTENBA,1145,Das Moor bei Rottenbach,50.394444,10.962778,465,DEU,Germany,Thomas,1,N,,
1428,SCHWARMO,1146,Das Schwarze Moor in der Rh_n,50.511389,10.069722,781,DEU,Germany,Thomas,1,N,,
1429,SEELOH92,1147,Die Seelohe,50.026111,11.858889,778,DEU,Germany,Thomas,2,Y,,
1430,WOLOHE1,1148,Die Wolfslohe im Steinwald,49.9075,12.040278,718,DEU,Germany,Thomas,1,Y,,
1431,WOLOHE2,1148,Die Wolfslohe im Steinwald,49.9075,12.040278,718,DEU,Germany,Thomas,1,N,,
1432,SAUBORST,1149,Sauborst im Rehauer Forst,50.276111,12.099444,572,DEU,Germany,Thomas,1,Y,,
1433,FICHBE57,1150,Das Moor bei Fichtelberg,49.9925,11.849722,625,DEU,Germany,Thomas,1,N,,
1434,FICHBE92,1150,Das Moor bei Fichtelberg,49.9925,11.849722,625,DEU,Germany,Thomas,1,N,,
1435,RADAUE56,1151,Radauer Born,51.801389,10.548056,800,DEU,Germany,Thomas,1,N,,
1436,RADAUER1,1151,Radauer Born,51.801389,10.548056,800,DEU,Germany,Thomas,1,N,,
1437,RADAUER2,1151,Radauer Born,51.801389,10.548056,800,DEU,Germany,Thomas,1,N,,
1438,SEELOH57,1147,Die Seelohe,50.026111,11.858889,778,DEU,Germany,Thomas,1,N,,
1439,ROTEMOR1,1152,Rotemoor,50.468333,9.984444,805,DEU,Germany,Thomas,1,N,,
1440,BELIYA2C,1153,Beliya Kanton,41.733611,24.139722,1547,BGR,Bulgaria,Simon,2,Y,,
1441,RD7B,1154,Lake Sedmo Rilsko,42.210833,23.326944,2095,BGR,Bulgaria,Simon,1,Y,,480
1442,BONNII1,1155,Bonnier,43.564444,3.905556,2,FRA,France,Simon,1,N,,
1443,MEJEANI1,1156,M_jean,43.557222,3.910556,1,FRA,France,Simon,1,N,,
1444,MEJEANII,1156,M_jean,43.557222,3.910556,1,FRA,France,Simon,1,N,,
1445,STADEIII,1157,Le Stade,43.567222,3.907778,4,FRA,France,Simon,1,N,,
1446,SERRE,1158,Tourbière du massif de la Serre,47.176111,5.547222,346,FRA,France,Simon,1,N,,
1447,ORESTG25,1159,Lake Oresti_s,40.511667,21.257778,630,GRC,Greece,Simon,2,Y,,350
1448,SALOIO,1160,Lake Saloio,39.613333,-9.015833,70,PRT,Portugal,Simon,1,N,,
1449,LAILIAS,1161,Lailias,41.267778,23.599444,1420,GRC,Greece,Simon,2,Y,,
1450,SIDON1,1162,Sidon,33.564167,35.368611,1,LBN,Lebanon,Simon,1,N,,
1451,TYR1,1163,Tyre,33.278056,35.203056,3,LBN,Lebanon,Simon,1,N,,
1452,LAVPICCO,1164,Lago Picco di Avigliana,45.05,7.38,356,ITA,Italy,Walter,2,Y,,
1453,CABURN,1165,Caburn,50.857222,0.050556,6,GBR,United Kingdom,Simon,2,Y,,
1454,DOWELS,1166,The Dowels Walland marsh,51.043611,0.828056,0,GBR,United Kingdom,Simon,2,Y,,
1455,HMS,1167,Horsemarsh Sewer,51.051944,0.826667,0,GBR,United Kingdom,Simon,2,Y,,
1456,HOPEFARM,1168,Hope farm Walland marsh,51.017778,0.835556,2,GBR,United Kingdom,Simon,2,Y,,
1457,LCC,1169,Little Cheyne Court Walland marsh,50.962778,0.83,3,GBR,United Kingdom,Simon,2,Y,,
1458,BOITES1,1041,Lac des Boites,45.056111,5.885278,1560,FRA,France,Simon,1,Y,,
1459,LA13,1170,Lake of Annecy,45.856667,6.172222,447,FRA,France,Simon,2,Y,,
1460,SLA13,1170,Lake of Annecy,45.856667,6.172222,447,FRA,France,Simon,1,N,,
1461,ANNECY,1170,Lake of Annecy,45.856667,6.172222,447,FRA,France,Simon,2,N,,1100
1462,MAHARLOU,1171,Maharlou Lake,29.477222,52.759722,1455,IRN,Iran,Simon,1,N,,
1463,ALMALOU3,1172,Lake Almalou,37.665278,46.631944,2410,IRN,Iran,Simon,1,N,,
1464,BUR,1173,Bad Urach,48.479444,9.405,466,DEU,Germany,Thomas,1,N,,
1465,BUS8707,1174,Bodensee-Untersee,47.720833,8.973611,395,DEU,Germany,Thomas,1,N,,
1466,KIN,1175,Kirschheim unter Teck,48.617222,9.4725,350,DEU,Germany,Thomas,1,N,,
