E.,Sigle,Site.,SiteName,LatDD,LonDD,Elevation,PolDiv1,Name,Responsible,Age model,Use,Upper depth,Lower depth
904,CARREGUE,770,Vale da Carregueira,38.09,-8.77,8,PRT,Portugal,Basil,1,N,,
905,CHA2,771,Tourbi_è_re de Champlong,45.82,7.81,2320,ITA,Italy,Walter,1,Y,15,450
906,CHEYLADE,772,Etang de Cheylade,45.09,2.9,1040,FRA,France,Simon,2,Y,,
907,CRISTOL,773,Cristol Lake,45,6.63,2248,FRA,France,Simon,1,Y,,
908,CROVAN03,774,Crovani,42.47,8.68,10,FRA,France,Simon,1,N,,
909,CROVANI,774,Crovani,42.47,8.68,10,FRA,France,Simon,1,N,,
910,ESTACADA,775,Lagoa de Albufeira,38.52,-9.14,2,PRT,Portugal,Basil,1,N,,
911,FIGUEIRA,776,Figueira de Baixo,38.31,-8.74,3,PRT,Portugal,Basil,1,N,,
912,GB4,777,Gallanech Beg,56.38,-5.5,70,GBR,United Kingdom,Thomas,2,Y,,
913,GOLFO1,778,Lagoa do Golfo I,38.56,-9.14,70,PRT,Portugal,Basil,1,N,,
914,GOLFO2,779,Lagoa do Golfo II,38.56,-9.14,70,PRT,Portugal,Basil,1,N,,
915,LCASASW,780,Lagoa da Casa (Southwest),38.57,-9.14,70,PRT,Portugal,Basil,1,N,,11.5
916,LGC,781,Lagaccione,42.57,11.85,355,ITA,Italy,Walter,2,Y,0,3000
917,MOINHOS,782,Ribeira de Moinhos,37.98,-8.85,5,PRT,Portugal,Basil,1,N,,
918,N-PEQ,783,Salada Peque_è_a,41.03,-0.22,357,ESP,Spain,Basil,1,Y,,
919,N-SAL,784,Laguna Salada Chiprana,41.23,-0.17,150,ESP,Spain,Basil,1,Y,,
920,PEUIL,785,Peuil Peat Bog,45.13,5.64,970,FRA,France,Simon,1,Y,,
921,PILAZ,786,Tourbi_è_re de Pilaz,45.82,7.83,1460,ITA,Italy,Walter,2,Y,0,300
922,PRGNP,787,Lago Pratignano,44.18,10.82,1307,ITA,Italy,Walter,2,Y,0,1490
923,RILMAN,788,Lake Suho Ezero,42.13,23.42,1900,BGR,Bulgaria,Basil,1,Y,,
924,RLGH3DAT,789,Round Loch of Glenhead,55.08,-4.42,300,GBR,United Kingdom,Thomas,1,Y,,230
925,TEANGDAT,790,Teanga,57.32,-7.28,20,GBR,United Kingdom,Thomas,2,Y,,
926,TRAVESS1,791,Lagoa Travessa I,38.3,-8.77,3,PRT,Portugal,Basil,1,N,,
927,TRAVESS2,792,Lagoa Travessa II,38.3,-8.77,3,PRT,Portugal,Basil,1,N,,
928,VACC3,793,Vaccar_è_s III,43.54,4.54,1,FRA,France,Simon,1,N,,
929,VICO_V1,794,Lago di Vico,42.32,12.17,510,ITA,Italy,Walter,2,Y,0,1400
930,VILLA,795,Lac de Villa,45.68,7.76,820,ITA,Italy,Walter,2,Y,0,690
931,BANYOLES,796,Banyoles,42.13,2.75,173,ESP,Spain,Basil,1,Y,,
932,LGM90D,382,Lago Grande di Monticchio,40.94,15.6,1326,ITA,Italy,Walter,1,Y,0,1200
933,CORREO,797,Correo,44.51,5.98,1090,FRA,France,Simon,2,Y,,
934,GIOUX,798,Gioux,45.274444,2.643056,943.659372,FRA,France,Simon,1,N,,
935,GPILXX,799,La Grande Pile,47.733333,6.503889,330,FRA,France,Simon,1,N,,
938,PANBRI,801,Pannel Bridge,50.9,0.68,3,GBR,United Kingdom,Thomas,1,Y,,
939,BOSHEI1,617,Bosscherheide,51.58,6.09,18,NLD,Netherlands,Thomas,2,Y,,
941,CLAIR,803,Loch Clair,57.56,-5.34,92,GBR,United Kingdom,Thomas,2,Y,,450
942,DOMSJON,804,Domsj_è_n,58.3,12.45,129,SWE,Sweden,Thomas,2,Y,,
944,DRUIM,806,Lochan an Druim,58.47,-4.7,25,GBR,United Kingdom,Thomas,2,Y,,
945,DURANK1,807,Lake Duranunlak,43.67,28.55,4,BGR,Bulgaria,Basil,1,Y,,580
946,DURANK2,807,Lake Duranunlak,43.67,28.55,4,BGR,Bulgaria,Basil,1,Y,,
947,E26,808,Black Sea (West),42.83,29.92,0,BGR,Bulgaria,Basil,1,Y,,
948,EINICH,809,Loch Einich,57.08,-3.8,502,GBR,United Kingdom,Thomas,1,Y,,200
949,HOYRAN,810,Hoyran G_è_l_è_,38.28,30.88,920,TUR,Turkey,Basil,1,Y,,
950,JC-5-A,258,Borkovicka blata,49.22,14.9,415,CZE,Czech Republic,Walter/Basil,2,Y,0,650
951,KOPAIS,811,Kopais,38.48,23.07,10,GRC,Greece,Basil,1,Y,,
952,LADIK,812,Ladik G_è_l_è_,40.92,36.02,884.8,TUR,Turkey,Basil,1,Y,,
953,LERNA,813,Lake Lerna,37.58,22.75,0,GRC,Greece,Basil,1,Y,,
954,LLYN-JL,814,Llyn Gwernan,52.68,-4.87,165,GBR,United Kingdom,Thomas,1,Y,,
955,LOGYLET,815,Logylet,56.3,14.98,61,SWE,Sweden,Thomas,1,Y,,
956,MABO,816,Mabo Moss,58.02,16.07,117,SWE,Sweden,Thomas,2,Y,,550
957,MIK1_N,628,Lake Mikolajki,53.77,21.42,116,POL,Poland,Thomas,2,Y,,
958,MUCKROSS,817,Muckross,52.02,-9.52,30,IRL,Ireland,Thomas,1,N,,
959,LUXRODEN,818,Rodenbourg Bretzboesh,49.69,6.27,285,LUX,Luxembourg,Thomas,1,Y,,
960,NIZHNIVA,819,Nizhnevartovsk,62,76.67,57.65,RUS,Russia,Thomas,1,Y,,
962,PADUL3,725,Padul,37,-3.07,785,ESP,Spain,Basil,1,N,,
963,PIERFOL,821,Pierre Folle,47.02,-1.89,2,FRA,France,Simon,1,Y,,150
964,PINARBAS,822,Pinarbasi,37.47,30.05,984.6,TUR,Turkey,Basil,1,Y,,
965,R43-90,823,Rybachiy,69.63,32.37,60,RUS,Russia,Thomas,2,Y,,91
966,RL300,468,Rotsee,47.08,8.33,419,CHE,Switzerland,Walter,2,Y,530,920
967,SANNEN,824,S_è_nnen,56.32,15.38,62,SWE,Sweden,Thomas,2,N,,
968,SAVI,825,Mire Saviku,58.4,27.23,30,EST,Estonia,Thomas,2,Y,,695
969,SERTAL,826,Pico del Sertal,43.22,-4.44,940,ESP,Spain,Basil,1,Y,,
970,STAVT,827,Stav,50.42,35.4,155,UKR,Ukraine,Thomas,1,Y,,
971,STON2,828,Stoyanov 2,50.38,24.63,198,UKR,Ukraine,Thomas,2,Y,,
972,STURSIN,829,Saint-Ursin,48.519444,-0.253333,236.299828,FRA,France,Simon,1,Y,,
