,pvar,pvarcode,pvarname,cutoff,use
535,1041,Cam.cf.r,Campanula cf. C. rotundifolia,0.005,1
536,2521,Cam.p,Campanula rapunculoides,0.005,1
537,2203,Cam.r,Campanula rotundifolia,0.005,1
538,130,Cam-T,Campanula-type,0.005,1
539,1674,Cam/Jas,Campanula/Jasione,0.005,1
540,131,Camae,Campanulaceae,0.005,1
541,1718,Camae.u,Campanulaceae undiff.,0.005,1
542,1163,Canae,Cannabaceae,0.005,1
543,3052,Can.ud,Cannabaceae undiff.,0.005,1
544,1661,Canae-T,Cannabaceae-type,0.005,1
545,2652,Can/Urt,Cannabaceae/Urticaceae,0.005,1
546,132,Can,Cannabis,0.005,1
547,1469,Can.s,Cannabis sativa,0.005,1
548,133,Can-T,Cannabis-type,0.005,1
549,3187,Can/Hum,Cannabis/Humulus,0.005,1
550,3465,Can/HumT,Cannabis/Humulus-type,0.005,1
551,3650,Cppae,Capparidaceae,0.005,1
552,2060,Cap,Capparis,0.005,1
553,134,Cap.s,Capparis spinosa,0.005,1
554,1950,Capeae,Caprifoliaceae,0.005,1
555,1631,Cap-T,Capsella-type,0.005,1
556,2579,Caa,Caragana,0.005,1
557,2269,Ine,Cardamine,0.005,1
558,2160,Car.p-T,Cardamine pratensis-type,0.005,1
559,135,Cad-T,Cardamine-type,0.005,1
560,3657,Cardio,Cardiospermum,0.005,1
561,3658,Car.cf.h,Cardiospermum cf. C. halicacabum,0.005,1
562,3282,Crdae,Carduaceae,0.005,1
563,3265,Carae,Cardueae,0.005,1
564,3350,Carae.ud,Cardueae undiff.,0.005,1
565,3255,Crd-T,Carduncellus-type,0.005,1
566,1074,Cad,Carduus,0.005,1
567,1310,Cuu-T,Carduus-type,0.005,1
568,3469,Car/Cir,Carduus/Cirsium,0.005,1
569,1596,Cax,Carex,0.005,1
570,2018,Car.h-T,Carex hirta-type,0.005,1
571,1013,Car-T,Carex-type,0.005,1
572,3145,Cax.root,Carex: rootlet,0.005,1
573,3241,Cai,Carlina,0.005,1
574,3564,Car.a,Carlina acaulis,0.005,1
575,2653,Cai-T,Carlina-type,0.005,1
576,136,Car,Carpinus,0.005,1
577,137,Car.b,Carpinus betulus,0.005,1
578,3263,Car.b-T,Carpinus betulus-type,0.005,1
579,2852,Car.c.b,Carpinus cf. C. betulus,0.005,1
580,1311,Car.o,Carpinus orientalis,0.005,1
581,138,Car.o-T,Carpinus orientalis-type,0.005,1
582,139,Car.o/Os,Carpinus orientalis/Ostrya,0.005,1
583,2765,Car.o/Oc,Carpinus orientalis/Ostrya carpinifolia,0.005,1
584,1678,Cus-T,Carpinus-type,0.005,1
585,2940,Cab,Carpobrotus,0.005,1
586,1555,Cat,Carthamus,0.005,1
587,3370,Cat-T,Carthamus-type,0.005,1
588,3165,Car.c,Carum carvi,0.005,1
589,3195,Car.c-T,Carum carvi-type,0.005,1
590,2784,Car.v,Carum verticillatum,0.005,1
591,2208,Cum-T,Carum-type,0.005,1
592,140,Cya,Carya,0.005,1
593,3000,Car.g-T,Carya glabra-type,0.005,1
594,2998,Car.t,Carya tomentosa,0.005,1
595,2999,Car.t-T,Carya tomentosa-type,0.005,1
596,1490,Cay-T,Carya-type,0.005,1
597,141,Cphae,Caryophyllaceae,0.005,1
598,2941,Caryae_5,Caryophyllaceae (5 colpae),0.005,1
599,3060,Cph.S-T,Caryophyllaceae Subfam. Silenoideae-type,0.005,1
600,142,Cphae.ud,Caryophyllaceae undiff.,0.005,1
601,143,Cia,Cassia,0.005,1
602,144,Cio,Cassiope,0.005,1
603,145,Cas,Castanea,0.005,1
604,146,Cas.s,Castanea sativa,0.005,1
605,147,Cas-T,Castanea-type,0.005,1
606,1542,Cau,Casuarina,0.005,1
607,148,Ced,Cedrus,0.005,1
608,2645,Ced.a,Cedrus atlantica,0.005,1
609,2513,Ced.l,Cedrus libani,0.005,1
610,1446,Celae,Celastraceae,0.005,1
611,149,Cel,Celtis,0.005,1
612,1061,Cel.a,Celtis australis,0.005,1
613,2931,Cel-T,Celtis-type,0.005,1
614,150,Cen,Centaurea,0.005,1
615,2708,Cen.cc-T,Centaurea cf. C. cyanus-type,0.005,1
616,1999,Cen.cf.k,Centaurea cf. C. kotschyana,0.005,1
617,2709,Cen.cn-T,Centaurea cf. C. nigra-type,0.005,1
618,2855,Cen.c.s,Centaurea cf. C. scabiosa,0.005,1
619,2710,Cen.cs-T,Centaurea cf. C. scabiosa-type,0.005,1
620,1838,Cen.cf.x,Centaurea cf. Xeranthemum,0.005,1
621,2942,Cet.c,Centaurea collina,0.005,1
622,2827,Cen.o-T,Centaurea collina-type,0.005,1
623,151,Cen.c,Centaurea cyanus,0.005,1
624,152,Cen.c-T,Centaurea cyanus-type,0.005,1
625,3373,Cet.d-T,Centaurea dealbata-type,0.005,1
626,2197,Cen.dst,Centaurea debeauxii Subsp. thuillieri,0.005,1
627,1659,Cen.d,Centaurea depressa,0.005,1
628,1312,Cen.d-T,Centaurea depressa-type,0.005,1
629,1004,Cen.j,Centaurea jacea,0.005,1
630,153,Cen.j.-T,Centaurea jacea-type,0.005,1
631,3668,Cen.j.S,Centaurea jacea/C. scabiosa,0.005,1
632,2000,Cen.l-T,Centaurea mollis-type,0.005,1
633,154,Cen.m,Centaurea montana,0.005,1
634,155,Cen.m-T,Centaurea montana-type,0.005,1
635,1823,Cet.n-T,Centaurea nemecii-type,0.005,1
636,156,Cen.n,Centaurea nigra,0.005,1
637,157,Cen.n-T,Centaurea nigra-type,0.005,1
638,1786,Cen.r,Centaurea rhenana,0.005,1
639,1538,Cen.r-T,Centaurea rhenana-type,0.005,1
640,158,Cen.s,Centaurea scabiosa,0.005,1
641,159,Cen.s-T,Centaurea scabiosa-type,0.005,1
642,1771,Cen.o,Centaurea solstitialis,0.005,1
643,160,Cen.x-T,Centaurea solstitialis-type,0.005,1
644,2943,Cet.p,Centaurea sphaerocephala,0.005,1
645,2295,Cet.s,Centaurea stoebe,0.005,1
646,1528,Cen.u,Centaurea undiff.,0.005,1
647,1118,Cen-T,Centaurea-type,0.005,1
648,1591,Cen/Ser,Centaurea/Serratula,0.005,1
649,161,Cei,Centaurium,0.005,1
650,2650,Cet.m,Centaurium maritimum,0.005,1
651,2944,Cet.l,Centaurium pulchellum,0.005,1
652,3213,Cen.p-T,Centaurium pulchellum-type,0.005,1
653,2076,Cet-T,Centaurium-type,0.005,1
654,1963,Cet,Centranthus,0.005,1
655,1537,Cen.a,Centropyxis aculeata,0.005,1
656,3268,Cep.l-T,Cephalanthera longifolia-type,0.005,1
657,1841,Cep,Cephalaria,0.005,1
658,1243,Cer,Cerastium,0.005,1
659,162,Cer.a-T,Cerastium alpinum-type,0.005,1
660,2209,Cet.a,Cerastium arvense,0.005,1
661,3069,Cea.a-T,Cerastium arvense-type,0.005,1
662,3588,Cer.c,Cerastium cerastioides,0.005,1
663,3053,Cer.c-T,Cerastium cerastioides-type,0.005,1
664,3227,Cer.f,Cerastium fontanum,0.005,1
665,1164,Cer.Sg.t,Cerastium fontanum Subsp. triviale,0.005,1
666,3489,Cer.f-G,Cerastium fontanum-group,0.005,1
667,2096,Cer.f-T,Cerastium fontanum-type,0.005,1
668,1165,Cer.ud,Cerastium undiff.,0.005,1
669,3581,Cer.u,Cerastium uniflorum,0.005,1
670,163,Cer-T,Cerastium-type,0.005,1
671,1393,Cer/Ste,Cerastium/Stellaria,0.005,1
672,2072,Ctp,Ceratocephalus,0.005,1
673,1945,Crt-T,Ceratocephalus-type,0.005,1
674,2381,Cea,Ceratonia,0.005,1
675,2654,Cer.s,Ceratonia siliqua,0.005,1
676,2672,Cerateae,Ceratophyllaceae,0.005,1
677,1535,Cer.a,Ceratophyllum,0.005,1
678,992,Cer.hair,Ceratophyllum hair,0.005,1
679,993,Cer.spi,Ceratophyllum spines,0.005,1
680,3174,Cer.macr,Ceratophyllum: macroremains,0.005,1
681,3163,Cer.spin,Ceratophyllum: spines,0.005,1
682,164,Ccs,Cercis siliquastrum,0.005,1
683,3176,Crc-T,Cercophora-type,0.005,1
684,3015,Crls,Cereales,0.005,1
685,3043,Crl,Cerealia,0.005,1
686,1621,Crl.ud,Cerealia undiff.,0.005,1
687,165,Crl-T,Cerealia-type,0.005,1
688,2829,Crl-T/S,Cerealia-type/Secale,0.005,1
689,3351,Crl-T/T,Cerealia-type/Triticum,0.005,1
690,2001,Crt,Cerinthe,0.005,1
691,2167,Cer.m,Cerinthe minor,0.005,1
692,3376,Crt.m-T,Cerinthe minor-type,0.005,1
693,1889,Crn-T,Cerinthe-type,0.005,1
694,3271,Cet.o,Ceterach officinarum,0.005,1
695,1932,Cf.Abi,cf. Abies,0.005,1
696,1941,Cf.Aca,cf. Acantholimon,0.005,1
697,2336,cf.Ace,cf. Acer,0.005,1
698,1943,cf.Acn,cf. Aconitum,0.005,1
699,2711,cf.Aco,cf. Acorus,0.005,1
700,2885,Cf.Adi,cf. Adiantum,0.005,1
701,1944,Cf.Ado,cf. Adonis,0.005,1
702,1493,cf.Aes.,cf. Aesculus,0.005,1
703,2857,cf.Aiz,cf. Aizoon,0.005,1
704,2712,cf.Alc,cf. Alchemilla,0.005,1
705,166,cf.Abr,cf. Ambrosia,0.005,1
706,1291,cf.Amp.f,cf. Amphitrema flavum,0.005,1
707,1127,cf.Ana,cf. Anagallis,0.005,1
708,2596,cf.Ana-T,cf. Anagallis-type,0.005,1
709,2012,cf.And.p,cf. Andromeda polifolia,0.005,1
710,2355,cf.Ant,cf. Anthericum,0.005,1
711,3031,cf.Ant.c,cf. Anthriscus caucalis,0.005,1
712,2649,cf.Arb,cf. Arbutus,0.005,1
713,1668,Cf.Arc,cf. Arctostaphylos,0.005,1
714,2590,cf.Arm,cf. Armeria,0.005,1
715,2713,cf.Arm-A,cf. Armeria (type A),0.005,1
716,2328,cf.Art,cf. Artemisia,0.005,1
717,1042,cf.Ast,cf. Astragalus,0.005,1
718,1166,cf.Ast.d,cf. Astragalus danicus,0.005,1
719,3331,Cf.Ast.g,Cf. Astragalus glycyphyllos,0.005,1
720,1939,Cf.Ast-T,cf. Astragalus-type,0.005,1
721,1250,cf.Ath,cf. Athyrium,0.005,1
722,2378,cf.Ata,cf. Atraphaxis,0.005,1
723,1240,cf.Atr,cf. Atriplex,0.005,1
724,167,cf.Ave,cf. Avena,0.005,1
725,2714,cf.Bal,cf. Baldellia,0.005,1
726,2046,cf.Bar,cf. Bartsia,0.005,1
727,1909,Cf.Ber,cf. Berberis,0.005,1
728,1912,Cf.Bon,cf. Bongardia,0.005,1
729,168,cf.Bru.s,cf. Bruckenthalia spiculifolia,0.005,1
730,1857,Cf.Bun.r,cf. Bunium rectangulum,0.005,1
731,1133,cf.Cal,cf. Callitriche,0.005,1
732,1137,cf.Cau,cf. Calluna,0.005,1
733,3648,cf.Cal.s,cf. Calluna: stomata,0.005,1
734,1719,cf.Cay,cf. Calystegia,0.005,1
735,1050,cf.Cam,cf. Campanula,0.005,1
736,1922,Cf.Camae,cf. Campanulaceae,0.005,1
737,2849,cf.Canna,cf. Cannabaceae,0.005,1
738,2033,cf.Can,cf. Cannabis,0.005,1
739,2039,cf.Can.s,cf. Cannabis sativa,0.005,1
740,3103,cf.Cad,cf. Carduus,0.005,1
741,2329,cf.Car,cf. Carpinus,0.005,1
742,1099,cf.Car.b,cf. Carpinus betulus,0.005,1
743,2945,cf.Cap,cf. Cassiope,0.005,1
744,2359,cf.Cas,cf. Casuarina,0.005,1
745,1948,cf.Cac,cf. Caucalis,0.005,1
746,2715,cf.Ced,cf. Cedrus,0.005,1
747,2101,cf.Cen,cf. Centaurea,0.005,1
748,1363,cf.Cen.c,cf. Centaurea cyanus,0.005,1
749,2593,cf.Cen.n,cf. Centaurea nigra-type,0.005,1
750,2584,cf.Cen.s,cf. Centaurea scabiosa-type,0.005,1
751,2716,cf.Cet,cf. Centaurium,0.005,1
752,1244,cf.Cea,cf. Cerastium,0.005,1
753,1834,Cf.Cer.g,cf. Cerastium glomeratum,0.005,1
754,1921,cf.Cer,cf. Ceratonia,0.005,1
755,1288,cf.Cer.t,cf. Ceratophyllum trichome,0.005,1
756,2447,cf.Cha,cf. Chamaenerion,0.005,1
757,1848,Cf.Chi,cf. Chionodoxa,0.005,1
758,2034,cf.Chy,cf. Chrysanthemum,0.005,1
759,1107,cf.Chr,cf. Chrysosplenium,0.005,1
760,1346,cf.Cir,cf. Cirsium,0.005,1
761,2337,cf.Cla,cf. Cladium,0.005,1
762,1167,cf.Cla.m,cf. Cladium mariscus,0.005,1
763,2338,cf.Cla-T,cf. Cladium-type,0.005,1
764,1785,Cf.Con,cf. Convolvulus,0.005,1
765,2360,cf.Cus,cf. Cornus,0.005,1
766,1035,cf.Cor,cf. Cornus suecica,0.005,1
767,1502,cf.Cro.,cf. Crocus,0.005,1
768,1937,Cf.Cruae,cf. Cruciferae,0.005,1
769,2599,cf.Cry.c,cf. Cryptogramma crispa,0.005,1
770,3159,cf.Cus.e,cf. Cuscuta europea,0.005,1
771,912,cf.Cys,cf. Cystopteris,0.005,1
772,2248,cf.Cyt,cf. Cytisus,0.005,1
773,2592,cf.Dap,cf. Daphne,0.005,1
774,3032,cf.Dau.c,cf. Daucus carota,0.005,1
775,1109,cf.Dig,cf. Digitalis,0.005,1
776,169,cf.Dry,cf. Dryas,0.005,1
777,3124,cf.Dry.o,cf. Dryas octopetala,0.005,1
778,2441,cf.Dro,cf. Dryopteris,0.005,1
779,1380,cf.Dry.f,cf. Dryopteris felix-mas,0.005,1
780,3125,cf.Emp,cf. Empetrum,0.005,1
781,2332,cf.Eph.f,cf. Ephedra fragilis,0.005,1
782,1248,cf.Epi,cf. Epilobium,0.005,1
783,1815,Cf.Equ,cf. Equisetum,0.005,1
784,2478,cf.Eri,cf. Erica,0.005,1
785,1292,cf.Eug,cf. Euglypha,0.005,1
786,2448,cf.Eup,cf. Euphorbia,0.005,1
787,1842,Cf.Eupae,cf. Euphorbiaceae,0.005,1
788,1859,Cf.Fal,cf. Falcaria,0.005,1
789,1245,cf.Fil,cf. Filipendula,0.005,1
790,1168,cf.fra,cf. Frangula,0.005,1
791,1522,cf.Fra.a,cf. Frangula alnus,0.005,1
792,2371,cf.Gen,cf. Genista,0.005,1
793,1673,cf.Get,cf. Gentiana,0.005,1
794,1422,cf.Gen.p,cf. Gentiana pneumonanthe,0.005,1
795,1844,Cf.Genae,cf. Gentianaceae,0.005,1
796,1136,cf.Gen.c,cf. Gentianella campestris,0.005,1
797,1102,cf.Ger,cf. Geranium,0.005,1
798,1108,cf.Geu,cf. Geum,0.005,1
799,2357,cf.Gra,cf. Gratiola,0.005,1
800,2128,cf.Her.s,cf. Heracleum sphondylium,0.005,1
801,2235,cf.her,cf. Herniaria,0.005,1
802,1387,cf.Hip.r,cf. Hippophae rhamnoides,0.005,1
803,170,cf.Hor,cf. Hordeum,0.005,1
804,1010,cf.Hot,cf. Hottonia,0.005,1
805,2246,cf.Hum,cf. Humulus,0.005,1
806,2838,cf.Hum.l,cf. Humulus lupulus,0.005,1
807,1345,cf.Hup.s,cf. Huperzia selago,0.005,1
808,1924,Cf.Hyp,cf. Hypericum,0.005,1
809,2334,cf.Ile,cf. Ilex,0.005,1
810,1134,cf.Iso,cf. Isoetes,0.005,1
811,1782,Cf.Jnc,cf. Juncus,0.005,1
812,2451,cf.Koe.i,cf. Koenigia islandica,0.005,1
813,2366,cf.Kra,cf. Krascheninnikovia,0.005,1
814,1053,cf.Labae,cf. Labiatae,0.005,1
815,3100,cf.Led,cf. Ledum,0.005,1
816,1388,cf.Legae,cf. Leguminosae,0.005,1
817,2180,cf.Lep.i,cf. Lepidotis inundata,0.005,1
818,1861,Cf.Lev,cf. Levisticum,0.005,1
819,1238,cf.Lig,cf. Ligusticum,0.005,1
820,2361,cf.Lum,cf. Ligustrum,0.005,1
821,3127,cf.Lig.v,cf. Ligustrum vulgare,0.005,1
822,2850,cf.Lilia,cf. Liliaceae,0.005,1
823,3130,cf.Lin.c,cf. Linum catharticum-type,0.005,1
824,2242,cf.Lit,cf. Littorella,0.005,1
825,2241,cf.Lob,cf. Lobelia,0.005,1
826,2583,cf.Lon,cf. Lonicera,0.005,1
827,1931,Cf.Lorae,cf. Loranthaceae,0.005,1
828,1169,cf.Lot,cf. Lotus,0.005,1
829,2453,cf.Lyc,cf. Lychnis,0.005,1
830,3135,cf.Lyc.v,cf. Lychnis viscaria-type,0.005,1
831,3136,cf.Lyc.i,cf. Lycopodiella inundatum,0.005,1
832,1874,cf.Lyo,cf. Lycopodium,0.005,1
833,1816,Cf.Lyc.c,cf. Lycopodium clavatum,0.005,1
834,2455,cf.Lyt,cf. Lythrum,0.005,1
835,3146,cf.Mal,cf. Malus,0.005,1
836,1744,Cf.Mar,cf. Marrubium,0.005,1
837,1511,cf.Med.f,cf. Medicago falcata,0.005,1
838,1846,Cf.Med.m,cf. Medicago minima,0.005,1
839,1386,cf.Men,cf. Menyanthes,0.005,1
840,1171,cf.Mer,cf. Mercurialis,0.005,1
841,2236,cf.Mon,cf. Montia,0.005,1
842,985,cf.Mos.s,cf. Moss spore,0.005,1
843,2363,cf.Myo-T,cf. Myosotis-type,0.005,1
844,2005,cf.Myo.a,cf. Myosoton aquaticum,0.005,1
845,1037,cf.Myr,cf. Myrica,0.005,1
846,2372,cf.Myc,cf. Myricaria,0.005,1
847,2717,cf.Myt,cf. Myrtus,0.005,1
848,1383,cf.Nar,cf. Narthecium,0.005,1
849,1254,cf.Odo,cf. Odontites,0.005,1
850,2591,cf.Ole,cf. Olea,0.005,1
851,2368,cf.Ono-T,cf. Onobrychis-type,0.005,1
852,1093,cf.Oph.v,cf. Ophioglossum vulgatum,0.005,1
853,171,cf.Ori,cf. Origanum,0.005,1
854,2377,cf.Oro,cf. Orobanche,0.005,1
855,2858,cf.Osm,cf. Osmunda,0.005,1
856,1128,cf.Oxr,cf. Oxyria,0.005,1
857,172,cf.Oxy,cf. Oxyria digyna,0.005,1
858,1427,cf.O/R.a,cf. Oxyria/Rumex acetosa,0.005,1
859,1172,cf.Oxt,cf. Oxytropis,0.005,1
860,173,cf.Pap,cf. Papaver,0.005,1
861,1940,Cf.Papae,cf. Papaveraceae,0.005,1
862,1362,cf.Pas,cf. Parnassia,0.005,1
863,174,cf.Par,cf. Parthenocissus,0.005,1
864,175,cf.Ped,cf. Pedicularis,0.005,1
865,2280,cf.Pen,cf. Penium,0.005,1
866,176,cf.Phi,cf. Phillyrea,0.005,1
867,2946,cf.Phr,cf. Phragmites australis,0.005,1
868,1038,cf.Pil,cf. Pilularia,0.005,1
869,2456,cf.Pin,cf. Pinguicula,0.005,1
870,1382,cf.Pla.c,cf. Plantago coronopus,0.005,1
871,1361,cf.Pla.m,cf. Plantago media,0.005,1
872,2582,cf.Pla,cf. Platanus,0.005,1
873,2718,cf.Pog,cf. Polygonum,0.005,1
874,2719,cf.Pol.a,cf. Polygonum amphibium,0.005,1
875,2369,cf.Pob-T,cf. Polygonum bistorta-type,0.005,1
876,2367,cf.Pol,cf. Polypodium,0.005,1
877,1174,cf.Pop,cf. Populus,0.005,1
878,2480,cf.Pot.C,cf. Potentilla bifurca Subgen. Comarum,0.005,1
879,2013,cf.Pot.p,cf. Potentilla palustris,0.005,1
880,3143,cf.Pri.f,cf. Primula farinosa,0.005,1
881,2848,cf.Primu,cf. Primulaceae,0.005,1
882,1809,Cf.Pro,cf. Prosopis,0.005,1
883,1344,cf.Pru,cf. Prunus,0.005,1
884,1833,Cf.Pru-T,cf. Prunus-type,0.005,1
885,1252,cf.Pte,cf. Pteridium,0.005,1
886,3009,cf.Ptr,cf. Pterocarya,0.005,1
887,1144,cf.Que,cf. Quercus,0.005,1
888,2325,cf.Ran,cf. Ranunculus,0.005,1
889,2594,cf.Res.l,cf. Reseda lutea-type,0.005,1
890,2847,cf.Rhame,cf. Rhamnaceae,0.005,1
891,177,cf.Rhi,cf. Rhinanthus,0.005,1
892,1175,cf.Rho,cf. Rhodiola,0.005,1
893,1073,cf.Rho.r,cf. Rhodiola rosea,0.005,1
894,1930,Cf.Rhus,cf. Rhus,0.005,1
895,2947,cf.Rhy,cf. Rhynchospora alba,0.005,1
896,2289,cf.Ric,cf. Riccia,0.005,1
897,2445,cf.Ros,cf. Rosa,0.005,1
898,1054,cf.Rub,cf. Rubus,0.005,1
899,1122,cf.Rub.i,cf. Rubus idaeus,0.005,1
900,1519,cf.Sag,cf. Sagina,0.005,1
901,1176,cf.Sal.h,cf. Salix herbacea,0.005,1
902,1920,Cf.Sam,cf. Sambucus,0.005,1
903,2692,cf.Sam.n,cf. Sambucus nigra,0.005,1
904,2691,cf.Sam.r,cf. Sambucus racemosa,0.005,1
905,2856,cf.San,cf. Sanguisorba,0.005,1
906,178,cf.Sau,cf. Saussurea,0.005,1
907,2458,cf.Sax.n,cf. Saxifraga nivalis,0.005,1
908,1391,cf.Sax.o,cf. Saxifraga oppositifolia,0.005,1
909,2459,cf.Sax.s,cf. Saxifraga stellaris,0.005,1
910,1694,Cf.Scl,cf. Scleranthus,0.005,1
911,3141,cf.Scl.a,cf. Scleranthus annuus,0.005,1
912,179,cf.Scoae,cf. Scrophulariaceae,0.005,1
913,180,cf.Sec,cf. Secale,0.005,1
914,181,cf.Sed,cf. Sedum,0.005,1
915,2589,cf.Sed-T,cf. Sedum-type,0.005,1
916,1242,cf.Sil,cf. Silene,0.005,1
917,2224,cf.Sil.a,cf. Silene alba,0.005,1
918,1835,cf.Sie.a,cf. Silene albescens,0.005,1
919,1836,Cf.Sil.m,cf. Silene ampullata,0.005,1
920,1863,Cf.Smy,cf. Smyrniopsis,0.005,1
921,1946,Cf.Solae,cf. Solanaceae,0.005,1
922,1251,cf.Sob,cf. Sorbus,0.005,1
923,182,cf.Sor,cf. Sorbus aucuparia,0.005,1
924,1793,Cf.Ste,cf. Stellaria,0.005,1
925,2585,cf.Suc,cf. Succisa,0.005,1
926,2014,cf.Swe,cf. Swertia,0.005,1
927,1173,cf.Tar,cf. Taraxacum,0.005,1
928,2326,cf.Tax,cf. Taxus,0.005,1
929,2331,cf.Tha,cf. Thalictrum,0.005,1
930,973,cf.Tlp.p,cf. Thelypteris palustris,0.005,1
931,1947,Cf.Thyae,cf. Thymelaeaceae,0.005,1
932,1253,cf.Thy,cf. Thymus,0.005,1
933,1135,cf.Tof,cf. Tofieldia,0.005,1
934,2097,cf.Tri,cf. Triticum,0.005,1
935,2035,cf.Tri.d,cf. Triticum diccocon,0.005,1
936,1030,cf.Tro.e,cf. Trollius europaeus,0.005,1
937,1129,cf.Tus,cf. Tussilago,0.005,1
938,2156,cf.Typ.a,cf. Typha angustifolia,0.005,1
939,2333,cf.Urt,cf. Urtica,0.005,1
940,1676,Cf.Utr,cf. Utricularia,0.005,1
941,1714,Cf.Val,cf. Valeriana,0.005,1
942,2015,cf.Ver,cf. Veratrum,0.005,1
943,1856,cf.Veo,cf. Veronica,0.005,1
944,3132,cf.Ver.c,cf. Veronica chamaedrys,0.005,1
945,1043,cf.Vib,cf. Viburnum,0.005,1
946,1177,cf.Vic,cf. Vicia,0.005,1
947,1495,cf.Vic.c,cf. Vicia cracca,0.005,1
948,2047,cf.Vio,cf. Viola,0.005,1
949,2469,cf.Vis,cf. Viscaria,0.005,1
950,2597,cf.Viu,cf. Viscum,0.005,1
951,1991,cf.Xan,cf. Xanthium,0.005,1
952,3111,cf.Xan-T,cf. Xanthium-type,0.005,1
953,183,Chh,Chaenorhinum,0.005,1
954,2087,Cho,Chaerophyllum,0.005,1
955,3221,Cha.h,Chaerophyllum hirsutum,0.005,1
956,2948,Cha.h-T,Chaerophyllum hirsutum-type,0.005,1
957,2785,Cha.t,Chaerophyllum temulentum,0.005,1
958,3449,Cha-T,Chaerophyllum-type,0.005,1
959,2889,Cht,Chaetomium,0.005,1
960,184,Cha.c,Chamaedaphne calyculata,0.005,1
961,3034,Cha,Chamaenerion,0.005,1
962,3062,Cha.a,Chamaenerion angustifolium,0.005,1
963,3061,Cha.a-T,Chamaenerion angustifolium-type,0.005,1
964,2930,Cha.ud,Chamaenerion undiff.,0.005,1
965,2761,Cps,Chamaerops,0.005,1
966,2695,Chara,Chara,0.005,1
967,2840,Charae,Characeae,0.005,1
968,3404,Cha.o,Characeae: oospores,0.005,1
969,994,Charcoal,Charcoal,0.005,1
970,2075,Crd,Chardenia,0.005,1
971,1764,Cha/Ono,Chardenia/Onopordon,0.005,1
972,913,Che,Cheilanthes,0.005,1
973,1814,Clt-T,Cheilanthes-type,0.005,1
974,2064,Chd,Chelidonium,0.005,1
975,2523,Che.m,Chelidonium majus,0.005,1
976,1619,Chl-T,Chelidonium-type,0.005,1
977,185,Cheae,Chenopodiaceae,0.005,1
978,1412,Cheae-T,Chenopodiaceae-type,0.005,1
979,1048,Che/Ama,Chenopodiaceae/Amaranthaceae,0.005,1
980,3623,Che/AmaU,Chenopodiaceae/Amaranthaceae undiff.,0.005,1
981,1082,Chm,Chenopodium,0.005,1
982,2220,Che.a,Chenopodium album,0.005,1
983,2548,Che.h,Chenopodium hybridum,0.005,1
984,2549,Che.p,Chenopodium polyspermum,0.005,1
985,2550,Che.r,Chenopodium rubrum,0.005,1
986,2674,Che.ud,Chenopodium undiff.,0.005,1
987,1581,Che-T,Chenopodium-type,0.005,1
988,2214,Che/Tha,Chenopodium/Thalictrum,0.005,1
989,186,Chi,Chimaphila,0.005,1
990,3346,Chironom,Chironomid,0.005,1
991,1667,Chl.u,Chlorophyta undiff.,0.005,1
992,2158,Chy,Chrysanthemum,0.005,1
993,3570,Chy.a,Chrysanthemum alpinum,0.005,1
994,2151,Chr-T,Chrysanthemum-type,0.005,1
995,2758,Cryseae,Chrysophyceae,0.005,1
996,187,Chr,Chrysosplenium,0.005,1
997,2199,Chr.a,Chrysosplenium alterniflorum,0.005,1
998,1092,Chr.o,Chrysosplenium oppositifolium,0.005,1
999,2205,Chr.u,Chrysosplenium sp.,0.005,1
1000,2264,Chy-T,Chrysosplenium-type,0.005,1
1001,188,Cic,Cicendia filiformis,0.005,1
1002,2949,Cic-T,Cicendia-type,0.005,1
1003,3196,Cchae,Cichoriaceae,0.005,1
1004,3018,Cicoid,Cichorioideae,0.005,1
1005,2105,Cum,Cichorium,0.005,1
1006,2735,Cic.i-T,Cichorium intybus-T,0.005,1
1007,1442,Cic.-T,Cichorium-type,0.005,1
1008,2198,Cic.v,Cicuta virosa,0.005,1
1009,189,Cit-T,Cicuta-type,0.005,1
1010,3123,Cccae,Circaceae,0.005,1
1011,190,Cra,Circaea,0.005,1
1012,1178,Cir.l,Circaea lutetiana,0.005,1
1013,3285,Cca-T,Circaea-type,0.005,1
1014,191,Cir,Cirsium,0.005,1
1015,3150,Cir.a,Cirsium acaule,0.005,1
1016,3138,Cir.cf.a,Cirsium cf. arvense,0.005,1
1017,3133,Cir.cf.o,Cirsium cf. oleraceum,0.005,1
1018,3134,Cir.cf.p,Cirsium cf. palustre,0.005,1
1019,3129,Cir.cf.v,Cirsium cf. vulgare,0.005,1
1020,1805,Cir.h,Cirsium helenioides,0.005,1
1021,3572,Cir.s,Cirsium spinosissimum,0.005,1
1022,192,Cir-T,Cirsium-type,0.005,1
1023,193,Cir/Cdu,Cirsium/Carduus,0.005,1
1024,3048,Cir/Cd-T,Cirsium/Carduus-type,0.005,1
1025,1629,Cir/Gun,Cirsium/Gundelia,0.005,1
1026,194,Cisae,Cistaceae,0.005,1
1027,195,Cisae.ud,Cistaceae undiff.,0.005,1
1028,196,Ciu,Cistus,0.005,1
1029,2950,Cis.a-T,Cistus albidus-type,0.005,1
1030,2667,Cis.i-T,Cistus incanus-type,0.005,1
1031,2697,Cis.l,Cistus ladanifer,0.005,1
1032,2786,Cis.l-T,Cistus ladanifer-type,0.005,1
