,pvar,pvarcode,pvarname,cutoff,use
129,2914,Amph.w,Amphitrema wrightianum,0.005,1
130,3399,Amy-T,Amygdalus-type,0.005,1
131,1607,Anaae,Anacardiaceae,0.005,1
132,38,Ana,Anagallis,0.005,1
133,1507,Ana.a,Anagallis arvensis,0.005,1
134,39,Ana.a-T,Anagallis arvensis-type,0.005,1
135,1009,Ana.t,Anagallis tenella,0.005,1
136,40,Ana.t-T,Anagallis tenella-type,0.005,1
137,1790,Ana-T,Anagallis-type,0.005,1
138,2833,Analines,Analysed lines,0.005,1
139,2935,Ana.b,Anarrhinum bellidifolium,0.005,1
140,41,Anc,Anchusa,0.005,1
141,42,Anc.a,Anchusa arvensis,0.005,1
142,2881,Ans.a,Anchusa azurea,0.005,1
143,2873,Anc.a-T,Anchusa azurea-type,0.005,1
144,43,Anc.o,Anchusa officinalis,0.005,1
145,44,Anc-T,Anchusa-type,0.005,1
146,1548,Anc/Pul,Anchusa/Pulmonaria,0.005,1
147,2117,Ahn,Andrachne,0.005,1
148,3417,And.t,Andrachne telephioides,0.005,1
149,2048,Ame,Andromeda,0.005,1
150,45,And,Andromeda polifolia,0.005,1
151,2438,Ano-T,Andromeda-type,0.005,1
152,2877,Ano,Andropogon,0.005,1
153,1899,Adr,Androsace,0.005,1
154,3418,And.e-T,Androsace elongata-type,0.005,1
155,2218,And-T,Androsace-type,0.005,1
156,3678,Androeae,Androsaceae,0.005,1
157,3544,Andr-T,Andryala-type,0.005,1
158,1153,Ane,Anemone,0.005,1
159,1902,Ane.c,Anemone coronaria,0.005,1
160,1294,Ane.n,Anemone nemorosa,0.005,1
161,3147,Ane.n-G,Anemone nemorosa-group,0.005,1
162,1565,Ane.n-T,Anemone nemorosa-type,0.005,1
163,3466,Ane.n/r,Anemone nemorosa/ranunculoides,0.005,1
164,1911,Ane.u,Anemone undiff.,0.005,1
165,46,Ane-T,Anemone-type,0.005,1
166,1693,Ane/Hep,Anemone/Hepatica,0.005,1
167,3679,Ane/Pul,Anemone/Pulsatilla,0.005,1
168,3691,Ane/PulT,Anemone/Pulsatilla-type,0.005,1
169,3496,Anet-T,Anethum-type,0.005,1
170,2341,Ang,Angelica,0.005,1
171,3419,Ang.a,Angelica archangelica,0.005,1
172,1722,Ang.a-T,Angelica archangelica-type,0.005,1
173,3420,Ang.p,Angelica palustris,0.005,1
174,2778,Ang.p-T,Angelica palustris-type,0.005,1
175,2779,Ang.s,Angelica sylvestris,0.005,1
176,3210,Ang.s-T,Angelica sylvestris-type,0.005,1
177,47,Ang-T,Angelica-type,0.005,1
178,3365,Ani,Anisosciadium,0.005,1
179,1756,Ani-T,Anisosciadium-type,0.005,1
180,902,Ano.l,Anogramma leptophylla,0.005,1
181,2643,Ann,Antennaria,0.005,1
182,1154,Ate-T,Antennaria-type,0.005,1
183,3281,Antae,Anthemideae,0.005,1
184,1366,Ant,Anthemis,0.005,1
185,2780,Ant.st,"Anthemis small ""type""",0.005,1
186,48,Ant-T,Anthemis-type,0.005,1
187,49,Anh,Anthericum,0.005,1
188,2219,Ant.r,Anthericum ramosum,0.005,1
189,1295,Anr-T,Anthericum-type,0.005,1
190,1434,Aos,Anthoceros,0.005,1
191,2385,Anh.c,Anthoceros crispulus,0.005,1
192,2168,Ant.l,Anthoceros laevis,0.005,1
193,1817,Ant.l-T,Anthoceros laevis-type,0.005,1
194,983,Ant.p,Anthoceros punctatus,0.005,1
195,2509,Anthocae,Anthocerotaceae,0.005,1
196,3611,Ant.T-1,Anthocerotales (type 1),0.005,1
197,3612,Ant.T-2,Anthocerotales (type 2),0.005,1
198,3613,Ant.T-3,Anthocerotales (type 3),0.005,1
199,2091,Antales,Anthocerothales,0.005,1
200,2283,Ant.f,Anthostomella fuegiana,0.005,1
201,3594,Anth,Anthoxanthum,0.005,1
202,50,Anr,Anthriscus,0.005,1
203,1066,Ant.c,Anthriscus caucalis,0.005,1
204,3211,Ant.c-T,Anthriscus caucalis-type,0.005,1
205,3456,Ant.ce,Anthriscus cerefolium,0.005,1
206,3467,Ant.n/s,Anthriscus nitida/sylvestris,0.005,1
207,2781,Ant.s,Anthriscus sylvestris,0.005,1
208,1698,Ant.s-T,Anthriscus sylvestris-type,0.005,1
209,1884,Ath-T,Anthriscus-type,0.005,1
210,51,Any,Anthyllis,0.005,1
211,52,Any.v,Anthyllis vulneraria,0.005,1
212,1907,Any-T,Anthyllis-type,0.005,1
213,2335,Ant/Lyc,Anthyllis/Lychnis,0.005,1
214,1796,Ant/Lin,Antirrhinum/Linaria,0.005,1
